,doi,chunk,abstract_bool,definition_bool,table_bool,definition
0,10.1002/lno.12769,-1,False,,,
1,10.1002/lno.70071,-1,False,,,
2,10.1002/lno.12802,-1,True,,,
3,10.1002/lno.12802,0,True,False,False,
4,10.1002/lno.12812,-1,False,,,
5,10.1002/lno.12773,-1,False,,,
6,10.1002/lno.70066,-1,True,,,
7,10.1002/lno.70066,0,True,False,False,
8,10.1002/lno.12779,-1,False,,,
9,10.1002/lno.70045,-1,True,,,
10,10.1002/lno.70045,0,True,False,False,
11,10.1002/lno.70045,1,True,False,False,
12,10.1002/lno.70045,2,True,False,False,
13,10.1002/lno.70045,3,True,False,False,
14,10.1002/lno.70045,4,True,False,False,
15,10.1002/lno.70045,5,True,False,False,
16,10.1002/lno.70045,6,True,False,True,
17,10.1002/lno.70045,7,True,False,False,
18,10.1002/lno.70045,8,True,False,True,
19,10.1002/lno.70045,9,True,False,True,
20,10.1002/lno.70045,10,True,False,False,
21,10.1002/lno.70045,11,True,False,True,
22,10.1002/lno.70045,12,True,False,False,
23,10.1002/lno.70082,-1,False,,,
24,10.1002/lno.70001,-1,False,,,
25,10.1002/lno.12782,-1,False,,,
26,10.1002/lno.70023,-1,False,,,
27,10.1002/lno.70006,-1,True,,,
28,10.1002/lno.70006,0,True,False,False,
29,10.1002/lno.70006,1,True,True,False,"**Ecosystems Studied:**

*   **Great Southern Reef (Australia):** Specifically, the extensive macroalgal forests along the southern coast of Australia.
    *   **Quantitative Attribute:** Contributes a net economic benefit of $22.8 ± 3.8 billion US$ yr<sup>-1</sup> from blue carbon storage and sequestration.
    *   **Quantitative Attribute:** Estimated to export 1.3-26.2 million tons of carbon yr<sup>-1</sup> to deep ocean sinks.
    *   **Quantitative Attribute:** Macroalgal forests contribute 30% (27-34%) of all blue carbon in Australia.

*   **Kelp Forests (within the Great Southern Reef):** Dominated by *Ecklonia radiata*.
    *   **Quantitative Attribute:** Found along 6000 km of Australia's coastline.
*   **Fucoid Forests (within the Great Southern Reef):** Dominated by *Sargassum dorycarpa*.
    *   **Quantitative Attribute:** Found along 3000 km of Australia's coastline.
    *   **Quantitative Attribute:** Decomposition in the surf zone has a turnover time of 30-40 days.

"
30,10.1002/lno.70006,2,True,False,False,
31,10.1002/lno.70006,3,True,False,False,
32,10.1002/lno.70006,4,True,False,False,
33,10.1002/lno.70006,5,True,False,True,
34,10.1002/lno.70006,6,True,False,True,
35,10.1002/lno.70006,7,True,False,True,
36,10.1002/lno.70006,8,True,True,True,"**Kelp forests and reefs** are being studied, specifically those off the **Rottnest Continental Shelf in Western Australia**. 

Here are the quantitative attributes used to define them:

*   **Depth:** Specifically, sites at **10 m, 20 m, and 50 m** depths are examined.
*   **Species Composition:** Dominated by two species: *E. radiata* (kelp) and *S. dorycarpa* (fucoid). The density of *E. radiata* on inner reefs is noted as **8 individuals m<sup>-2</sup>**.
*   **Detrital Production:**  **2 g detritus kelp<sup>-1</sup> d<sup>-1</sup>** is reported.
*   **Carbon Content:** Detrital production averages **337 gC m<sup>-2</sup> yr<sup>-1</sup>** with a mean potential carbon sequestration of **44 gC m<sup>-2</sup> yr<sup>-1</sup>** (10-20 m) during cross-shelf transport.
*   **Inner Shelf Reefs:** Defined by 8 individuals m-2 of E. radiata.
*   **Outer Shelf Reefs:** Projected to comprise one-third of total reefs between 0 and 60 m depth.



</end_of_turn>"
37,10.1002/lno.70006,9,True,False,True,
38,10.1002/lno.70006,10,True,False,False,
39,10.1002/lno.70080,-1,True,,,
40,10.1002/lno.70080,0,True,False,False,
41,10.1002/lno.70080,1,True,False,False,
42,10.1002/lno.70080,2,True,False,True,
43,10.1002/lno.70080,3,True,False,True,
44,10.1002/lno.70080,4,True,False,False,
45,10.1002/lno.70080,5,True,False,True,
46,10.1002/lno.70080,6,True,False,False,
47,10.1002/lno.70080,7,True,False,True,
48,10.1002/lno.70080,8,True,False,False,
49,10.1002/lno.70080,9,True,False,False,
50,10.1002/lno.70080,10,True,False,False,
51,10.1002/lno.70080,11,True,False,False,
52,10.1002/lno.12748,-1,True,,,
53,10.1002/lno.12748,0,True,False,False,
54,10.1002/lno.12748,1,True,False,False,
55,10.1002/lno.12748,2,True,False,False,
56,10.1002/lno.12748,3,True,False,False,
57,10.1002/lno.12748,4,True,False,False,
58,10.1002/lno.12748,5,True,False,False,
59,10.1002/lno.12748,6,True,False,False,
60,10.1002/lno.12748,7,True,False,True,
61,10.1002/lno.12748,8,True,False,False,
62,10.1002/lno.12748,9,True,False,False,
63,10.1002/lno.12748,10,True,False,False,
64,10.1002/lno.12748,11,True,False,False,
65,10.1002/lno.12748,12,True,False,False,
66,10.1002/lno.12716,-1,False,,,
67,10.1002/lno.70009,-1,True,,,
68,10.1002/lno.70009,0,True,False,False,
69,10.1002/lno.12730,-1,True,,,
70,10.1002/lno.12730,0,True,False,False,
71,10.1002/lno.12730,1,True,False,False,
72,10.1002/lno.12730,2,True,False,False,
73,10.1002/lno.12730,3,True,False,False,
74,10.1002/lno.12730,4,True,False,False,
75,10.1002/lno.12730,5,True,False,True,
76,10.1002/lno.12730,6,True,False,True,
77,10.1002/lno.12730,7,True,False,True,
78,10.1002/lno.12730,8,True,False,True,
79,10.1002/lno.12730,9,True,False,True,
80,10.1002/lno.12730,10,True,False,True,
81,10.1002/lno.12730,11,True,False,True,
82,10.1002/lno.12730,12,True,False,True,
83,10.1002/lno.12730,13,True,False,False,
84,10.1002/lno.12730,14,True,False,False,
85,10.1002/lno.12730,15,True,False,False,
86,10.1002/lno.12759,-1,True,,,
87,10.1002/lno.12759,0,True,False,False,
88,10.1002/lno.12759,1,True,False,False,
89,10.1002/lno.12759,2,True,False,False,
90,10.1002/lno.12759,3,True,False,False,
91,10.1002/lno.12759,4,True,False,False,
