,title,page,definition_bool,definition,table_bool
0,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",0,False,,False
1,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",1,False,,False
2,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",2,False,,True
3,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",3,False,,True
4,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",4,False,,True
5,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",5,False,,False
6,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",6,False,,False
7,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",7,False,,False
8,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",8,False,,False
9,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",9,False,,False
